"Methodology: Only official VGHF Posts, not replies to bsky users, yes replies to self (threads), went into threads whenever Bsky made it obvious (bsky seems to bury the ends of threads after 10 posts), does not account for times when VGHF self-reposts, any Events are considered Projects, includes QRPs but not RPs (most impactful for Vintage Mag Subscription), Subject Hierarchy: Project>Call To Action>Others>Collection (Posts with Patreon links were not added to Patreon count, for example). If something is labeled ""from the X Papers"" it has its own Collection line unless it was part of the original Project's release window",,,,,
,,,,,
Type Of Post,Content,Posts,Reposts,Avg,Notes
Collection,Silicon Magazine,1,20,20,
Collection,Into The 1st Degree,1,20,20,
Collection,First Decade Of Computer Games,2,20,10,
Collection,Sonic MilkCaps,1,19,19,
Collection,Robert DeNiro's: 9,1,19,19,
Collection,Sonic X Figure Ad,1,19,19,
Collection,Acclaim Simpsons Sales,1,19,19,
Collection,Rise of the Triad,1,18,18,
Collection,Teddie E3 2014,1,18,18,
Collection,none more '90s,1,18,18,
Collection,Comics & Games,1,18,18,
Collection,Mindscape Idea Theft,1,18,18,
Collection,Bomberman Party Pak,1,17,17,
Collection,11th Hour,1,16,16,
Collection,Star Trek fourth be with you,2,16,8,
Collection,Ren & Stimpy Connect The Dots,1,16,16,
Collection,US Game Market Share,1,16,16,
Collection,Johnny Bazookatone,1,15,15,
Collection,EGM2 Cover Video,1,15,15,
Collection,Atari Space Shuttle,1,14,14,
Collection,Amazing Tater,1,14,14,
Collection,Hellboy,1,14,14,
Collection,Frank Math,1,14,14,
Collection,The Embassy Mission,1,14,14,
Collection,Boom Blox,1,13,13,
Collection,3DO Magazine,1,13,13,
Collection,Epic is Hiring,1,13,13,
Collection,Colecovision Rental,1,13,13,
Collection,Sega's Heat . net,1,13,13,
Collection,River City Ransom,1,12,12,
Collection,VOTE,2,11,6,
Collection,Onimusha,1,11,11,
Collection,Ultima VII,1,11,11,
Collection,Lord British,1,11,11,
Collection,Star Wars Battlefront,1,11,11,
Collection,Summer CES,2,11,6,Subjectively Worst Post imo - https://bsky.app/profile/gamehistoryorg.bsky.social/post/3m4j3bdo5v22r - Runner Up: Feet
Collection,DOS Games Dead,1,11,11,
Collection,Armada,1,10,10,
Collection,June 2000 Business Graphs,1,10,10,
Collection,Computer Entertainer Awards,1,10,10,
Collection,Hot Seat,1,10,10,
Collection,Action Replay Ad,1,10,10,
Collection,Cyber Stars,1,9,9,
Collection,Link's Crossbow Training,1,9,9,
Collection,Konami Ad,1,9,9,
Collection,Douglas Adams Starship Titanic,1,9,9,
Collection,Midway Internal Postmortem,1,9,9,This might need a re-check. Did not find the original announcement for the Mark Flitman Papers drop and maybe those posts should be associated
Collection,Starship Troopers: Terran Ascendance,1,9,9,
Collection,Army Men 3DO,1,8,8,
Collection,E3 1998 Showfloor,1,8,8,
Collection,1998 Winners & Losers,1,8,8,
Collection,Worlds of Ultima,1,8,8,
Collection,Pinball Fantasies,1,8,8,
Collection,Rush 2049 Fun Fact,1,8,8,
Collection,Electronic Games Hotline,1,7,7,
Collection,Barney Actimates,1,7,7,
Collection,Magnavox Christmas,1,6,6,
Collection,Sports For Kids,1,6,6,
Collection,Genesis Controller,1,6,6,
Collection,Twisted Metal 3,1,6,6,
Collection,Shellshock,1,6,6,
Collection,Zero Divide,1,4,4,
Collection,Gamescom 2025,1,4,4,
Collection,Intellivision,1,4,4,
Collection,B2B Interactive Age,1,4,4,
Collection,200 Hot Games,1,3,3,
Collection,Orbotron,1,3,3,
Collection,Megamania,1,2,2,
